id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49767908,Spacious 4 bed family home with garden in Bristol,60387158,Hannah,,Eastville,51.47561,-2.54436,Entire home/apt,300,3,11,2022-08-21,0.65,1,65,8,
49784860,(F2) - Smart Central Flat - Sleeps 4 to 6 -Parking,396199459,Donny Thomas,,Ashley,51.461563,-2.585281,Entire home/apt,112,2,45,2022-12-11,2.49,7,357,39,
49788660,The White Room,246967920,Suraia,,Southmead,51.49935,-2.61461,Private room,40,3,50,2022-10-06,2.63,1,27,26,
49802400,Brand New Flat near Ashton Gate and North Street,38826326,Scarlett,,Bedminster,51.43499,-2.62416,Entire home/apt,105,1,27,2022-12-18,1.58,1,24,19,
49805761,Ideally located one-bedroom flat by Temple Meads,42007723,Davin,,Central,51.44878,-2.58537,Entire home/apt,82,1,106,2022-12-11,5.57,1,5,74,
49811481,Clifton Townhouse,45843611,Frances And James,,Clifton,51.45209,-2.61216,Entire home/apt,120,3,2,2022-04-22,0.12,1,0,1,
49831633,The art room,7042630,Dana,,St George West,51.46152,-2.53957,Private room,30,3,14,2022-07-18,0.74,2,0,6,
49836448,St. George Maisonette,7042630,Dana,,St George Central,51.46107,-2.53911,Entire home/apt,60,2,14,2022-06-06,0.74,2,0,5,
49868981,The Broadmead Forest - Spacious 3BDR Apartment,59436467,Gregg,,Central,51.45439,-2.5908,Entire home/apt,196,2,15,2022-12-02,0.82,1,311,14,
49924179,Cozy 1 Bed Studio Flat - Corn St Bristol,224558961,Ralph,,Central,51.45448,-2.59502,Entire home/apt,86,20,27,2022-09-23,1.40,1,216,12,
49975525,Stylish Flat with courtyard in Central Bristol,403015546,Renata,,Lawrence Hill,51.46049,-2.57921,Entire home/apt,77,2,114,2022-12-14,5.99,2,304,65,
50018862,Bright Terraced House,30844161,Dayna,,Easton,51.4694,-2.56393,Private room,195,1,4,2022-03-06,0.23,3,0,1,
50020222,Bright two bedroom space with bathroom,30844161,Dayna,,Easton,51.46727,-2.56469,Private room,195,1,2,2021-09-19,0.13,3,0,0,
